Metric,3mo,6mo,1y,3y,5y,10y
Return (ibkr_portfolio),29.25%,22.29%,35.91%,23.01%,14.01%,15.55%
Return (VT),16.66%,18.65%,29.85%,20.49%,10.55%,12.37%
Return (Difference),12.60%,3.64%,6.06%,2.51%,3.46%,3.18%
Volatility (ibkr_portfolio),11.16%,9.78%,8.71%,9.68%,10.63%,10.67%
Volatility (VT),17.47%,14.67%,12.65%,14.20%,16.05%,17.22%
Volatility (Difference),-6.31%,-4.88%,-3.93%,-4.53%,-5.42%,-6.55%
Yield (ibkr_portfolio),2.13%,2.23%,2.47%,2.87%,2.32%,3.21%
Yield (VT),0.90%,2.10%,2.16%,2.72%,2.39%,4.04%
Yield (Difference),1.23%,0.12%,0.31%,0.16%,-0.07%,-0.83%
Correlation (ibkr_portfolio vs VT),0.9385,0.9131,0.9012,0.9293,0.9385,0.9335
