Metric,3mo,6mo,1y,3y,5y,10y
Return (ibkr_portfolio),29.25%,22.29%,35.91%,23.01%,14.01%,15.55%
Return (VOO),16.81%,12.86%,29.02%,22.38%,13.16%,15.21%
Return (Difference),12.44%,9.42%,6.89%,0.63%,0.85%,0.34%
Volatility (ibkr_portfolio),11.16%,9.78%,8.71%,9.68%,10.63%,10.67%
Volatility (VOO),15.23%,13.42%,12.40%,14.77%,16.85%,18.00%
Volatility (Difference),-4.06%,-3.64%,-3.69%,-5.10%,-6.22%,-7.33%
Yield (ibkr_portfolio),2.13%,2.23%,2.47%,2.87%,2.32%,3.21%
Yield (VOO),1.17%,1.19%,1.39%,1.89%,1.80%,3.51%
Yield (Difference),0.96%,1.04%,1.08%,0.98%,0.52%,-0.30%
Correlation (ibkr_portfolio vs VOO),0.9365,0.9123,0.8957,0.9289,0.9304,0.9309
