Metric,3mo,6mo,1y,3y,5y,10y
Return (vt20_eq_weight),22.84%,27.13%,47.68%,41.59%,26.68%,29.27%
Return (VT),16.66%,18.65%,29.85%,20.49%,10.55%,12.37%
Return (Difference),6.18%,8.49%,17.83%,21.10%,16.13%,16.89%
Volatility (vt20_eq_weight),16.09%,14.04%,13.09%,16.83%,19.47%,20.17%
Volatility (VT),17.47%,14.67%,12.65%,14.20%,16.05%,17.22%
Volatility (Difference),-1.39%,-0.63%,0.45%,2.62%,3.42%,2.95%
Yield (vt20_eq_weight),0.79%,0.90%,1.12%,1.58%,1.76%,4.28%
Yield (VT),0.90%,2.10%,2.16%,2.72%,2.39%,4.04%
Yield (Difference),-0.10%,-1.20%,-1.04%,-1.13%,-0.63%,0.24%
Correlation (vt20_eq_weight vs VT),0.9332,0.9140,0.8987,0.9041,0.9262,0.9282
